Asignatura;Introducción
Redes de computadores;Es una asignatura obligatoria de la Facultad de Ingeniería que cursan las Escuelas Académico Profesionales de Ingeniería de Sistemas e Informática e Ingeniería Electrónica. Tiene como requisito haber aprobado la asignatura Arquitectura del Computador. Desarrolla en un nivel intermedio la competencia específica Diseño y Desarrollo de Soluciones. La relevancia de la asignatura reside en brindar los principios fundamentales del funcionamiento de las redes de computadoras los protocolos de comunicación y su respectiva aplicación en redes LAN;
Construccion de software;"Construcción de Software es una asignatura obligatoria de especialidad que se ubica en el sétimo periodo de la Escuela Académico Profesional de Ingeniería de Sistemas e Informática. Tiene como requisito haber aprobado las asignaturas de Diseño de Software y Programación Orientada a Objetos. Desarrolla en un nivel intermedio las competencias transversales Gestión de Proyectos y Experimentación; y las competencias específicas de Diseño y Desarrollo de Soluciones y Uso de Herramientas Modernas. La relevancia de la asignatura reside en utilizar los métodos herramientas y procedimientos para la construcción eficiente de software que satisfaga las necesidades del cliente. Los contenidos generales que la asignatura desarrolla son los siguientes: fundamentos de la construcción de software gestión de la construcción de software prácticas de código completo y código limpio tecnologías para la construcción de software herramientas para la construcción de software.";
